"Source:","C:\Users\jpsai\Development\CIRCUIT_LAUNCH\max31856\ADAFRUIT\KICAD\max31856\max31856.kicad_sch"
"Date:","8/10/2022 4:40:16 PM"
"Tool:","Eeschema (6.0.4)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","19"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","0.01uF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"","","C2","0.01uF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"","","C3","0.01uF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"","","C4","0.1uF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"","","C5","10uF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"","","C6","0.1uF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"","","C7","10uF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"","","D1","1N4148","Device:D","Diode_SMD:D_SOD-323","~"
"","","D2","1N4148","Device:D","Diode_SMD:D_SOD-323","~"
"","","D3","1N4148","Device:D","Diode_SMD:D_SOD-323","~"
"","","JP1","HEADER-1X970MIL","Adafruit MAX31856-eagle-import:HEADER-1X970MIL","Connector_PinHeader_1.00mm:PinHeader_1x09_P1.00mm_Vertical_SMD_Pin1Left",""
"","","R1","100","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"","","R2","100","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"","","R3","10K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"","","R4","10K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"","","R5","10K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"","","U1","MAX31856","Adafruit MAX31856-eagle-import:MAX31856","MAX31856MUD_:SOP65P640X110-14N",""
"","","U2","mic5225-3.3","Adafruit MAX31856-eagle-import:VREG_SOT23-5","IC_Microchip Technology_MIC5225-3:Microchip_Technology-SOT23-5LD-PL-1-0-0-IPC_A",""
"","","X1","3.5mm term","Adafruit MAX31856-eagle-import:TERMBLOCK_1X2","TerminalBlock_Altech:Altech_AK300_1x02_P5.00mm_45-Degree",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","3","C1, C2, C3","0.01uF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"2","2","C4, C6","0.1uF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"3","2","C5, C7","10uF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"4","3","D1, D2, D3","1N4148","Device:D","Diode_SMD:D_SOD-323","~"
"5","1","JP1","HEADER-1X970MIL","Adafruit MAX31856-eagle-import:HEADER-1X970MIL","Connector_PinHeader_1.00mm:PinHeader_1x09_P1.00mm_Vertical_SMD_Pin1Left",""
"6","2","R1, R2","100","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"7","3","R3, R4, R5","10K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"8","1","U1","MAX31856","Adafruit MAX31856-eagle-import:MAX31856","MAX31856MUD_:SOP65P640X110-14N",""
"9","1","U2","mic5225-3.3","Adafruit MAX31856-eagle-import:VREG_SOT23-5","IC_Microchip Technology_MIC5225-3:Microchip_Technology-SOT23-5LD-PL-1-0-0-IPC_A",""
"10","1","X1","3.5mm term","Adafruit MAX31856-eagle-import:TERMBLOCK_1X2","TerminalBlock_Altech:Altech_AK300_1x02_P5.00mm_45-Degree",""
